country,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,sum_2001_2022
Bolivia,30,108339285,64521463,62714153,617222,140321,178808,163759,203251,250748,216315,189953,369851,225270,451759,330239,273544,179823,256901,166275,470601,463194,301856,852090,429780,558393,595996,7268727
Paraguay,30,39958668,24296868,20452833,642488,150239,195125,267309,247348,262651,148256,426216,376343,353184,442300,457196,510220,318564,345746,279375,319823,360058,258780,314373,243379,277165,217142,6770792
Argentina,30,278010122,39086979,38380241,1107735,147806,105002,249155,433430,367249,316447,425345,592753,309858,413231,499187,478178,376777,241103,180233,230189,233920,172958,145444,197379,201882,232224,6549750
Sweden,30,45004558,27883714,29064876,1671285,144927,178264,92619,271564,248560,249126,182858,293724,208258,263646,205321,234883,197658,242523,216031,310348,331217,290151,332891,339968,333157,329902,5497596
Colombia,30,113675875,81801036,81738198,1085199,230055,182229,122417,253840,188744,189964,269029,231849,237891,197067,189829,227707,138898,202028,140856,290956,424870,352434,268410,324169,265168,265769,5194179
Mexico,30,195185465,53177142,50346718,1423107,158303,158834,152559,169841,206856,179044,218601,184377,281232,166729,186771,174753,219048,170750,197651,274183,298788,267151,327438,299526,189079,178858,4660372
Madagascar,30,59144707,17141086,16436355,173322,86957,89318,84248,81845,93628,71034,188580,123502,136537,107219,162323,128468,299350,416682,301789,383656,510357,366620,254243,241112,234880,256379,4618727
Myanmar,30,66929667,42863374,40919357,636627,44804,66120,77224,102186,91847,127464,146598,119216,216306,169913,135716,225189,248186,331445,293305,362552,341845,278709,309418,310005,304152,260938,4563138
Finland,30,33693918,21627652,22817319,1357022,151003,142432,89697,146602,230334,182295,151915,200192,176320,167507,159355,160310,148661,186629,172639,240428,336199,269955,289910,254473,266899,255378,4379133
Laos,30,23000148,19129552,17941851,101748,36475,55937,87074,64248,68327,122678,132995,80592,145564,167108,130933,147537,205607,243833,285029,388035,349137,294666,364710,357547,317575,321699,4367306
Mozambique,30,78729717,28917947,26973824,583188,60937,106658,79644,107726,150558,172224,138493,204760,217493,194545,150242,139946,162656,200501,181387,250553,359011,172398,235658,232509,278039,237826,4033764
Peru,30,129281869,78087223,78780800,430186,86014,80452,73869,101320,163023,88916,115743,126614,177914,142324,125265,275458,209307,205452,166500,230962,303281,211726,231257,278657,225204,236122,3855380
Angola,30,124742298,55292492,53847201,1224126,101221,61034,52462,71274,93435,76940,145287,103582,165948,159806,182928,180755,168841,212662,161719,229710,280456,242552,175098,248028,298294,266942,3678974
Russia,30,1689455452,761226497,754772096,37220539,1826603,2700384,3030069,3521018,1589993,2233420,2338923,3047988,2111641,1859545,3021488,5391244,4965537,4489889,2332111,5051686,5288941,5560431,3686557,5442086,6518852,4287817,80296223
Brazil,30,850035650,519187508,498198382,8062336,2746362,3507049,3248527,3848771,3486563,2876805,2621820,2444308,1817901,2688896,1923364,2918633,1945506,2693134,2222772,5378844,4519833,2948462,2696749,3291392,2991909,3308930,66126530
Canada,30,983422994,418066983,421403220,16965179,1358155,2316888,1607283,2706459,2920793,2406191,2117900,1949008,1550372,2104876,2160701,2545494,2807338,2643609,2733439,2084426,2559736,2142937,2175716,1195272,2524986,2299844,48911423
United States,30,947295610,279376628,271962125,13986700,1943319,2038436,1649384,2746257,2691544,2605856,2435128,2213724,1608981,2167662,1663692,1964094,1736445,1736527,2289649,2264067,2311358,2092359,2109918,1966716,2044299,2204643,46484058
Indonesia ,30,189024469,160641223,157793272,4882138,744088,855276,544810,1289043,1182442,1433150,1387625,1396251,1944963,1279332,1543629,2260261,1139299,1894361,1746471,2422072,1300719,1218733,1176884,961588,841391,885238,29447626
D. R. of Congo,30,232912781,199281687,198452936,1591179,455517,514477,274740,400044,485293,453171,462903,404831,635215,810712,429540,631000,920604,1337961,928116,1381278,1467957,1373807,1220177,1309976,1247857,1220169,18365345
China,30,938223516,162748596,154440711,6689626,230289,249151,261761,501544,383590,575233,652979,738031,599603,627826,598587,605004,441326,531643,490445,718689,644239,569453,496972,422214,536656,611896,11487131
Malaysia,30,32938349,29430562,28632041,1004945,332497,312554,183911,351802,375420,333901,405159,367972,622780,430607,463078,628171,333221,645779,454345,565249,483416,437985,395367,268721,277554,248089,8917578
Australia,30,768791340,42280599,39480482,1600600,218816,312150,373847,124769,177024,186304,372717,205725,203711,290725,121316,139803,260094,281738,261575,430903,236876,250751,1661548,2356516,261044,118987,8846939
Côte d'Ivoire,30,32165794,14872640,13953284,881678,122711,144560,86282,48048,65321,97781,90865,127555,108876,92492,124683,96129,175759,346793,152432,221100,357273,324740,242171,248502,183248,172456,3629777
Vietnam,30,32927600,16551332,16371754,1004759,47433,49625,43008,73881,102211,78777,80225,108286,137716,174256,130786,181242,132423,217342,217883,353446,286940,225155,216779,207641,193074,165142,3423271
Tanzania,30,94057691,26406466,24703916,557236,82214,85081,84068,66893,91583,85296,121685,164251,143354,138486,137805,154433,181510,198228,111961,152854,194876,171708,142773,186213,165077,160668,3021017
Cambodia,30,18135961,8809930,7641740,147334,28491,54862,56840,79251,64649,80507,77676,83499,121021,237882,192155,195569,190096,161797,132701,182418,118333,113205,143307,143488,144246,103843,2705836
Thailand,30,51405449,19962441,19272251,1842371,36102,60882,58448,91835,84287,99821,92629,80143,132690,134984,94545,114508,84754,137615,120808,171639,196457,133533,129794,119414,122816,110663,2408367
Venezuela,30,91249226,56533525,57273646,491357,123881,90372,87229,90987,94967,85491,114347,120575,142406,101286,74441,105963,64520,100975,61436,207336,166982,112107,140807,139302,64424,55790,2345624
Zambia,30,75049202,24050819,22436285,768157,30124,46240,41955,28488,57518,40501,53654,66180,117827,173984,60076,129519,84832,115221,87591,141637,162681,143944,124641,163028,201457,179098,2250196
Chile,30,75735292,19287066,20796593,731819,72711,78081,82844,85729,106926,91923,121652,123068,88567,91496,99350,174810,102243,119335,106107,113904,214837,76898,78735,70592,71610,67883,2239301
Liberia,30,9591802,9384713,9283496,57762,29186,56984,21605,6234,11324,36221,44282,36172,75136,20358,34444,72114,155536,164049,186010,168586,203292,204933,171765,220121,129838,152104,2200294
India,30,315279651,38830351,34435273,1881689,62361,53005,47751,74129,62505,67411,73907,85953,79203,51317,88460,95069,80866,139138,116308,175362,189421,132233,121154,137716,132748,122629,2188646
Guinea,30,24481607,8159637,8023664,272657,18572,28933,9229,17158,14581,15306,33821,21481,23388,16046,27638,24486,146184,132716,161820,216012,231588,182895,193690,178407,167377,130216,1991544
Sierra Leone,30,7260136,5617878,5426958,102137,18596,15310,9099,4020,6872,28526,21878,20925,30546,8782,33929,16356,170278,161513,232761,177687,232753,188217,175467,154641,113033,119929,1941118
Cameroon,30,46604006,31459332,30543474,351063,39204,28767,25345,23003,25159,35986,45916,35142,36072,57992,27652,51268,84612,181851,78970,116619,187281,120814,121801,202796,168798,147810,1842858
Papua New Guinea,30,46363061,42921809,42921262,266145,36005,54576,31806,58329,39021,56388,49173,71045,49210,68761,53046,73333,56668,105664,180807,177926,117509,117935,95135,78440,76613,142079,1789469
Nicaragua,30,12821978,7776808,7622239,142445,44110,54194,46964,21065,95150,38875,88500,53814,83097,212520,43290,33723,44038,75563,35524,142444,211681,71375,77848,111303,91851,48987,1725916
Guatemala,30,10915098,7693456,7034117,291032,53310,55601,98174,56449,100829,52558,126557,77173,86944,59668,40587,84044,55149,61831,54147,178397,79732,71161,90198,98556,49896,46396,1677357
South Africa,30,121971019,5983115,5282113,388241,77645,47680,92573,72602,104652,104943,47105,81376,67278,61759,69617,84897,56369,69667,70157,73546,94056,63667,76140,62247,52067,40980,1571023
Spain,30,50604279,11018923,10435459,381024,32811,37699,23315,67274,48955,72719,60256,44288,67545,56093,39326,80496,63956,74226,65414,107562,98459,119649,71022,101988,85792,137821,1556666
Ghana,30,23832413,6955668,7034627,312124,43644,78395,24955,17625,41346,27136,40172,37849,38253,19500,36243,36626,81228,120298,57407,119245,115286,151446,88257,136599,101379,118632,1531521
Philippines,30,29585658,18599417,18391765,172161,35165,32309,35154,48579,49782,57429,66498,38703,60890,102649,33253,59587,58871,102456,65896,129110,114281,70534,64039,63728,48883,84543,1422339
New Zealand,30,26716575,11255743,11432790,434875,50528,63228,44798,60681,52519,61672,62643,61372,59613,56122,59943,69499,77542,79410,64003,80359,74884,79228,71431,60925,66243,58515,1415158
France,30,54951498,16783020,16838139,695648,34421,33888,26393,76134,46391,55049,49246,86955,67054,143265,64074,67303,30352,44359,37293,60768,69249,69201,81304,77746,112886,58785,1392116
Honduras,30,11228980,7740482,7554766,137965,42380,31528,33625,26455,40472,41631,42412,43299,51514,46085,52572,32305,43632,57482,50242,188443,113474,76254,81416,93649,69498,57343,1315711
Poland,30,31239918,10439490,10635333,892072,19066,31070,33293,41874,82379,37680,57311,47941,46926,71835,56650,54896,35015,56279,42743,86510,96252,96846,76721,74959,77568,72193,1296007
Nigeria,30,90840998,10048731,10934411,927801,43386,32347,13381,14644,13280,26168,24573,27471,25290,32782,53891,34971,43435,68637,40928,72189,171045,119822,86895,99200,97193,106189,1247717
Germany,30,35783856,12526780,12781382,342762,15286,15303,6449,44940,39739,42653,93224,61696,28762,75678,34272,26007,15499,21169,12929,26877,33000,52237,108233,186940,202278,86450,1229621
Ukraine,30,60136110,11133285,11363523,926362,28826,27077,38955,49493,36558,42130,64266,53016,48322,52441,60356,55521,37712,47187,48914,106761,85861,74423,45144,79461,66593,47990,1197007
Portugal,30,8955506,2302481,2171273,168607,24405,34903,26840,55315,38934,42566,36322,33615,39860,48401,26673,58236,51884,60259,46097,94647,173895,97437,36886,62044,37224,46876,1173319
Belarus,30,20706912,9118586,9486572,963616,18359,25383,32119,38597,36192,42269,32657,35896,35543,35754,45367,39591,28085,33626,33899,90487,78767,87447,75049,68932,63479,64995,1042493
Uganda,30,24143953,7764959,6926895,185027,29659,10841,11980,18077,29172,28448,36627,36926,23293,34149,65067,29141,47750,54913,54021,67486,116902,86230,63268,73603,49245,64135,1030933
Republic of Congo,30,34173223,26388373,26636720,113139,27031,24310,18515,13833,18853,22154,29765,17374,19073,44665,28374,32144,54641,72891,47823,114303,63875,62698,73758,64540,58193,59424,968237
Central African Republic,30,62019959,47073501,47240766,482449,31282,34418,13727,14589,29317,57883,37308,31860,48253,48554,49140,57314,44182,57852,27316,51152,63910,40913,49026,55137,67181,51030,961344
Ecuador,30,25611545,19027559,19227280,218568,45002,29818,13836,37250,40379,35603,60540,51890,57646,33772,43630,74206,48383,30905,30078,44043,71108,38709,35646,48915,30273,52577,954209
Norway,30,32512221,11739522,13054563,476523,22446,26636,14817,33742,24919,40649,31841,33815,23317,40129,32769,29947,33069,39149,36639,60082,57917,59220,64784,68363,63937,67306,905493
Japan,30,37240327,26387254,26256128,221004,23977,26154,19747,37313,36386,38974,45586,40839,40895,35745,35955,45672,23234,28176,31145,54994,47612,50507,51381,48058,48456,53790,864596
Latvia,30,6470996,3553506,3690742,290489,24908,29176,21321,30639,40712,38894,36129,29308,34916,48507,44738,34285,27766,32203,30830,44945,47085,46923,57403,50463,48422,57142,856715
Turkey,30,78070341,10060828,8957674,473795,22910,25722,17744,28978,20411,25885,25344,28891,28108,17008,23888,28467,22543,22005,27735,25633,33901,35668,39118,45349,79284,53404,677996
Estonia,30,4548974,2639429,2725544,165131,16872,21918,5633,18106,14818,21732,16189,18297,18823,21496,27199,17685,17089,23577,25420,36335,38857,40038,45917,36805,34004,39215,556025
Czech Republic,30,7883559,3080384,3225755,77300,3460,6766,3925,13454,25560,8607,21325,16873,13514,15442,21853,14006,7659,13940,8047,22808,26512,39206,73295,100258,56293,34756,547559
United Kingdom,30,24548498,3695599,5005122,473123,23244,20112,1875,24847,8873,21053,31222,12505,37710,28469,22657,35669,28596,30372,23997,28808,23042,26251,28377,22842,26216,34169,540906
Gabon,30,26454970,24690965,24699923,50031,15083,13852,16845,9982,17699,19301,16501,17367,18252,10674,18161,17476,44449,48752,25473,32151,38644,26788,28561,22022,18318,29455,505806
Panama,30,7510420,5700500,5545904,84109,18264,19200,11283,16836,12349,34323,20645,39945,36947,15403,23104,17044,14041,14035,10554,17317,30879,27961,33994,27314,24390,17327,483155
Ethiopia,30,112951807,12040336,12361078,403582,11947,13074,13936,13396,15869,12076,25609,24009,29279,20184,15463,41632,30851,32725,10276,19582,35404,18894,25582,17981,19751,19941,467461
Italy,30,30075443,9318960,9437234,189387,9871,10931,3613,17225,10896,8902,11590,15154,14793,15806,11451,21489,15525,19833,14124,24722,34095,38844,59705,28246,28264,28680,443759
Mongolia,30,156624745,4090465,3552633,78601,21057,18728,38434,53303,7467,13249,48082,56001,81793,8764,3551,34640,629,523,7145,4142,25238,9225,2815,465,187,103,435541
Romania,30,23833794,7915161,7652863,223890,17536,16356,9428,18859,19418,13067,38082,17535,16177,17782,16927,30650,12946,19482,10906,23045,19187,18974,12266,27446,14699,16516,407284
Uruguay,30,17746574,1697322,2119109,654495,7647,6870,10612,15126,15919,21029,21530,23597,19280,17826,28001,31388,19263,25643,17548,23688,21859,19528,14519,12682,16999,15859,406413
Lithuania,30,6501663,2336226,2409461,241548,7962,10345,8916,13101,20385,17450,16037,15203,14408,21667,21735,17603,13923,15972,15794,25532,25804,19750,24565,22970,22634,23739,395495
Austria,30,8385802,4336043,4348982,36317,6926,10902,14476,14599,21657,12584,31670,26896,15887,16713,18090,11158,7645,9870,7938,17210,18406,26310,33642,25937,16652,19865,385033
Cuba,30,11073122,4014607,4239756,164351,18943,15036,6557,21974,12834,12305,7874,17084,16260,8608,16313,10345,6072,5861,6726,74053,76814,14955,7464,12618,9721,4889,383306
Kenya,30,58598336,3319483,3335503,117013,19027,20288,13553,16988,12745,20656,26103,19224,17696,22693,17300,17899,13564,15357,15616,19048,22163,15908,15950,19045,7564,6639,375026
Dominican Republic,30,4809195,2576426,2454727,54804,11247,10436,10714,19388,25088,13414,16059,21612,13967,14103,12960,17906,12703,13678,15091,24907,27063,13970,14931,21441,14182,13142,358002
South Korea,30,10022830,5367962,5106669,109265,5503,4705,3611,11406,8922,10148,8096,14022,16416,14425,11710,15941,9470,13426,17341,22538,20759,21850,20732,20123,17344,25660,314148
Belize,30,2198946,1748276,1751344,18602,8212,13474,6844,4312,8104,4270,12264,8216,10264,9766,26386,11528,16373,16465,12271,20511,16366,11164,18373,26512,9290,8172,279137
North Korea,30,12275519,5196390,4996431,288492,11946,5358,7349,11359,16529,12580,13289,18783,13114,19021,5431,16682,5031,10943,10853,11509,8523,7692,27492,14776,13743,9047,271050
Costa Rica,30,5117667,3913049,3869963,57877,15462,13289,8261,9767,16563,10059,11448,21875,22465,13145,10496,10367,7786,10934,3300,13791,22096,12338,11486,8261,7848,8563,269600
Greece,30,13257505,3672497,3620382,71537,12617,5126,2563,6814,4181,7346,46062,21197,6564,7785,6199,13242,5907,3803,3840,6034,8907,7122,7604,5427,49039,9794,247173
Hungary,30,9305264,1990161,1991868,207301,7522,7711,5733,12009,10398,7990,9361,8912,10072,11255,8225,11922,8952,15140,10720,14021,14109,13799,14398,12014,13753,14805,242821
Guyana,30,20974416,18996033,19052060,30502,10040,4827,7419,4062,5832,5934,5250,9460,8267,10099,8363,13112,7117,12154,13084,26512,19434,11761,22324,15770,9537,10564,240922
Slovakia,30,4909916,2397197,2375637,35797,3897,4016,3750,4625,27674,8023,9486,13466,11237,17104,11544,9170,5076,17366,5283,16943,14213,17699,10331,11947,6098,5207,234155
Zimbabwe,30,39068111,1414326,1061510,151989,8206,8016,7312,8422,11749,14883,9300,5435,19402,6635,9039,13803,9632,9645,12262,10955,25978,6557,11553,6225,9054,8265,232328
Bangladesh,30,13938437,1938958,2216745,317862,4587,3995,2159,4283,3293,6863,3995,4480,5625,4668,4181,5359,6022,12061,12604,21196,28377,19343,22079,21475,17587,13798,228030
